Month~Name~Symbol~PriceUSD
August~Bitcoin~BCT~1
September~Bitcoin~BCT~2
October~Bitcoin~BCT~2
August~Ethereum~ETH~1
September~Ethereum~ETH~2
October~Ethereum~ETH~2
August~BinanceCoin~BNB~2
September~BinanceCoin~BNB~2
October~BinanceCoin~BNB~2
August~Cardano~ADA~0,255373
September~Cardano~ADA~0,254047
October~Cardano~ADA~0,293107
August~Tether~USDT~0,9998
September~Tether~USDT~1,0002
October~Tether~USDT~1,0003
August~USDCoin~USDC~1,000108
September~USDCoin~USDC~1,000106
October~USDCoin~USDC~0,999940
August~Dogecoin~DOGE~0,063785
September~Dogecoin~DOGE~0,062141
October~Dogecoin~DOGE~0,068277
